,Ticker,volume
6493,NVDA,222298424128.0
3724,SQQQ,67315097473.0
7882,TSLA,58849987986.0
4910,TQQQ,51545482897.0
2591,SOXL,37514958559.0
6174,SPY,36130028870.0
2553,AAPL,30163943255.0
2699,AMD,29853043946.0
7752,PLTR,27862649338.0
9219,F,27746176219.0
3254,NIO,27402467334.0
1827,AMZN,26440299888.0
9504,INTC,24152362009.0
2735,SMCI,23973677186.0
4069,QQQ,23258906315.0
2806,MARA,21894162394.0
954,SOFI,21774747460.0
4261,XLF,21519305653.0
201,BAC,21467335343.0
6903,FXI,19796311043.0
9295,HYG,18904340827.0
8440,T,18459673298.0
4423,RIVN,18078510647.0
10113,CCL,17119750549.0
7239,TLT,16893463052.0
1280,LCID,16504816071.0
8860,IWM,15535446454.0
1779,PFE,15460887945.0
8775,EEM,15369441421.0
6508,AAL,15199706533.0
6665,PLUG,15136936757.0
357,GOOGL,14919631869.0
9217,SPXS,14365110334.0
8243,NU,14253307398.0
6012,SNAP,13798122505.0
7951,AVGO,13794345444.0
2953,WBD,12504641891.0
7388,SH,12413037549.0
3991,VALE,12374857396.0
5270,BBD,12289383383.0
9938,MSFT,12193547289.0
3484,TSLL,11723525535.0
4866,LQD,11701085561.0
7934,EWZ,11562459622.0
7304,OPEN,11416732494.0
4434,GOOG,11409360562.0
9436,GDX,11290989004.0
9993,LUMN,11024470355.0
4774,ITUB,10995768764.0
7274,TLRY,10971799293.0
7272,RIOT,10797548649.0
826,UBER,10729695074.0
1585,META,10682640456.0
4593,SOUN,10429966247.0
1370,PBR,10268549328.0
6255,KWEB,10254260031.0
1930,VZ,10194456954.0
7765,GRAB,10024512279.0
8331,FCEL,10001329674.0
3922,SLV,9745492632.0
641,CMCSA,9622336167.0
8821,BABA,9582654646.0
10660,SOXS,9429335926.0
6391,CLSK,9353550598.0
5444,CSCO,9267766622.0
3634,GOLD,9242580068.0
5204,WFC,9215476835.0
3311,RIG,9079926075.0
6125,XLE,9040322216.0
10383,ABEV,9012930724.0
717,WMT,9009002350.0
1403,MU,9006875842.0
7189,XOM,8447617210.0
5528,NOK,8363872890.0
3363,TZA,8278870232.0
1380,AMC,8276773134.7
9836,XPEV,8110281351.0
9143,KRE,8083147706.0
10391,LYFT,8036633001.0
10864,C,8032066811.0
3174,KEY,7976562891.0
4270,ARKK,7913367280.0
5954,HBAN,7910617589.0
8058,KVUE,7878468779.0
1137,TNA,7799437107.0
1362,EFA,7751907141.0
9174,MPW,7676358057.0
8882,PCG,7547993633.0
3338,GM,7518613017.0
1677,BITF,7408382874.0
8514,PYPL,7288396452.0
953,KGC,7041064486.0
1131,PARA,6985897717.0
9051,XLU,6908957175.0
5187,JBLU,6897990355.0
5699,CVNA,6874251640.0
7033,NCLH,6849047928.0
8097,AFRM,6841481728.0
2474,CMG,6779438480.0
5146,HPE,6745319423.0
3439,PTON,6710782323.0
4808,KMI,6690216680.0
5286,KO,6637117946.0
7698,TSM,6512257216.0
1113,AGNC,6503332591.0
5727,COIN,6418343894.0
9179,ET,6397980875.0
4373,CHPT,6396179385.0
6792,IBIT,6344554264.0
2611,ERIC,6341678546.0
1529,SHOP,6334008023.0
3485,WBA,6267033274.0
8908,JD,6260032114.0
667,DIS,6195024479.0
11079,CSX,6178460016.0
5474,FCX,6123349865.0
3169,IQ,6074779868.0
9859,FUBO,6059554449.0
3610,WULF,6001880298.0
10636,HOOD,5976503621.0
5642,BITO,5932583178.0
2738,BMY,5917972909.0
1338,MRVL,5902959009.0
9523,DKNG,5893514015.0
9866,LRCX,5883453607.0
8077,MSTR,5822985518.0
5409,AI,5715925610.0
8208,XLP,5678306047.0
1175,IEMG,5640352445.0
6446,SCHW,5634286218.0
716,BCS,5615271695.0
7780,U,5558028711.0
4343,GME,5537080348.0
7670,USB,5419779620.0
7393,LAZR,5411571090.0
6036,LABD,5369144682.0
7990,RUN,5350566505.0
4143,SDOW,5337984342.0
9549,SQ,5271141110.0
4973,DNN,5215025760.0
7070,VEA,5201042257.0
500,PINS,5170861311.0
1045,OXY,5165631020.0
3055,BTG,5160902844.0
8253,SLB,5102464902.0
10132,VWO,5019542120.0
656,NEE,5003999615.0
7590,CLF,4990452086.0
10922,SCHD,4934197273.0
6890,JPM,4930840234.0
10632,PDD,4924323179.0
3965,NEM,4901857907.0
4756,XLI,4871866634.0
5416,TFC,4842666695.0
2585,TEVA,4837387791.0
8404,RBLX,4821040202.0
9137,MRO,4807853669.0
921,DAL,4801853534.0
3507,LYG,4748001352.0
7308,GOVT,4700942876.0
6463,CVS,4669407684.0
8963,NKE,4646524224.0
4704,BKLN,4641273840.0
6969,M,4628961708.0
2147,XBI,4522189722.0
7519,BEKE,4514130074.0
8990,GGB,4498088927.94
9459,SPXL,4467506406.0
3104,JNJ,4440241377.0
3342,VTRS,4422481265.0
5539,YANG,4398643746.0
10640,INFY,4391048229.0
2280,MO,4390763560.0
1532,NVDL,4372108050.0
2490,PR,4365607263.0
8268,NVD,4351313672.0
10156,HBI,4340173793.0
7895,CPNG,4302065301.0
7762,RF,4297074632.0
2452,ORCL,4297064117.0
10778,KDP,4286688649.0
9489,PATH,4271381282.0
2742,IEFA,4235573456.0
6252,SBUX,4235511791.0
6489,BP,4208251486.0
6104,NVAX,4190916959.0
10704,QCOM,4169667085.0
2868,TME,4164003040.0
10670,UAA,4159419125.0
373,IEF,4155542784.0
4039,XLV,4151164833.0
9056,DVN,4148161093.0
2148,UMC,4140634402.0
4238,HAL,4075599117.0
7603,SDS,4067328903.0
8390,MRK,4065040565.0
1471,CVE,4054268541.0
276,CVX,4051700507.0
5478,AMCR,4043722255.0
7974,LUV,4021648629.0
121,AGG,3979666111.0
1924,HL,3970624399.0
3384,PBR.A,3958860013.0
508,GERN,3949103426.0
62,HUT,3948001884.0
11055,VFC,3930882089.0
6266,SMH,3925587570.0
5974,UAL,3924419384.0
7524,LI,3854963488.0
9749,FHN,3852847076.0
6196,IONQ,3798625240.0
7222,TECS,3775503570.0
1425,RLX,3768416518.0
2250,QS,3763176559.0
8705,HPQ,3749740209.0
1747,BIL,3746143051.0
5858,KHC,3698790206.0
9022,TAL,3686179454.0
8850,UPST,3667362405.0
4338,CLOV,3665130967.0
5489,UEC,3650585080.0
9078,AGRI,3648951119.3
3276,UPRO,3640983284.0
2557,MS,3635693433.0
8458,BB,3629196593.0
7641,CORZ,3606139614.0
2341,BILI,3599116128.0
6353,CX,3591359545.0
1696,TOST,3563608821.0
2776,CTRA,3538622356.0
1637,BA,3526704893.0
10543,DUST,3524379511.0
8800,BKR,3503019259.0
4313,GLD,3493499640.0
10304,YMM,3460642913.0
8547,BSX,3458147787.0
7578,CHWY,3449675037.0
9373,GE,3447342211.2356987
5850,BTE,3446804686.0
10493,SCHF,3428360541.0
7928,AG,3425150389.0
8680,IJH,3419804702.0
6815,BOIL,3416209385.2
4669,AES,3407480775.0
4978,JNK,3405095898.0
1318,DELL,3388669591.0
10131,HST,3369812827.0
6745,CAN,3368535115.0
99,USHY,3330945630.0
8759,RKLB,3329750794.0
1875,EXC,3321658304.0
8267,CRM,3310578419.0
10052,AUR,3295859139.0
4491,ON,3295184274.0
9198,CDE,3289789162.0
3445,IAG,3278800677.0
10575,AVTR,3253328906.0
634,VCIT,3237120531.0
7069,RTX,3230174716.0
3235,ALTM,3224955643.0
5144,WMB,3217296219.0
7763,EQT,3206081207.0
2872,GILD,3199648381.0
7273,PACB,3198727158.0
3021,IREN,3193846652.0
5746,VOD,3192532027.0
7511,V,3184511987.0
5384,MDLZ,3177782337.0
4093,IYR,3177259928.0
892,PG,3175045021.0
7049,ROKU,3150148161.0
545,VRT,3147799055.0
1681,BND,3142724444.0
7692,EOSE,3142528385.0
281,IOVA,3140949818.0
9752,XLK,3133918272.0
6317,EWJ,3130879808.0
657,ZI,3121230609.0
2217,SPXU,3120015462.600001
9971,X,3116828772.0
4248,ARDX,3114546351.0
4020,BLUE,3104745279.0
441,GDXJ,3084975961.0
6647,EMB,3084868022.0
2685,MDT,3082970934.0
3119,QRTEA,3070230599.0
6527,ASX,3062048607.0
