,Ticker,volume
1357,NVDA,222300568738.0
5141,SQQQ,67315097425.0
2982,TSLA,58850000338.0
3230,TQQQ,51545483497.0
5082,SOXL,37514958561.0
11013,SPY,36130223872.0
407,AAPL,30164021551.0
4651,AMD,29853390998.0
6017,PLTR,27862651340.0
2354,F,27746176221.0
4566,NIO,27402467334.0
4852,AMZN,26440898181.0
2396,INTC,24152359450.0
6644,SMCI,23973697285.0
2215,QQQ,23259063517.0
10986,MARA,21894162335.0
5356,SOFI,21774742463.0
9420,XLF,21519803349.0
6161,BAC,21467335245.0
9558,FXI,19796309523.0
7913,HYG,18904999001.0
10622,T,18459673000.0
1112,RIVN,18078510649.0
4611,CCL,17119750551.0
10779,TLT,16893463052.0
5218,LCID,16504816071.0
2876,IWM,15535803656.0
5228,PFE,15460887949.0
521,EEM,15369438054.0
9587,AAL,15199927926.0
7829,PLUG,15136936059.0
8217,GOOGL,14919631871.0
1562,SPXS,14365110334.0
735,NU,14253308928.0
9112,SNAP,13798140047.0
2183,AVGO,13794700402.0
8746,WBD,12504641891.0
11103,SH,12413028259.0
3766,VALE,12375297396.0
4283,BBD,12289383383.0
860,MSFT,12194539681.0
9900,TSLL,11723525435.0
1994,LQD,11701085561.0
5225,EWZ,11562447151.0
7712,OPEN,11416732494.0
7540,GOOG,11409360564.0
11085,GDX,11290987126.0
11050,LUMN,11024470355.0
7337,ITUB,10995768764.0
2152,TLRY,10971799293.0
8668,RIOT,10797548649.0
3704,UBER,10729695076.0
6671,META,10682658687.0
517,SOUN,10429966248.0
6000,PBR,10268549328.0
7696,KWEB,10254260032.0
3309,VZ,10194456756.0
10373,GRAB,10024512278.0
2722,FCEL,10001329674.0
7867,SLV,9745492632.0
2824,CMCSA,9622335969.0
8647,BABA,9582688396.0
5027,SOXS,9429335928.0
3134,CLSK,9353550798.0
1804,CSCO,9267766624.0
1198,GOLD,9242580068.0
4294,WFC,9215476836.0
2648,RIG,9079925875.0
3852,XLE,9040474217.0
4172,ABEV,9012930724.0
5629,WMT,9009002599.0
8074,MU,9007449745.0
1619,XOM,8448117212.0
672,NOK,8363872890.0
1141,TZA,8278867622.0
7254,AMC,8276865432.7
3521,XPEV,8110281351.0
8688,KRE,8083147706.0
4250,LYFT,8036633001.0
3564,C,8032066660.0
7749,KEY,7976562891.0
10049,ARKK,7913409664.0
6697,HBAN,7910617589.0
7591,KVUE,7878468779.0
10826,TNA,7799435634.0
8872,EFA,7751905681.0
10495,MPW,7676358057.0
5036,PCG,7547993633.0
10667,GM,7518613018.0
